,cardname,text,cmc,mana,type,Type
33376,Fires of Victory,"Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.)
If this spell was kicked, draw a card. Fires of Victory deals damage to target creature or planeswalker equal to the number of cards in your hand.",2,{1}{R},Instant,
33377,Floriferous Vinewall,"Defender
When Floriferous Vinewall enters the battlefield, look at the top six cards of your library. You may reveal a land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",2,{1}{G},Creature - Plant Wall,
33378,Flowstone Infusion,Target creature gets +2/-2 until end of turn.,1,{R},Instant,
33379,Flowstone Kavu,"Menace (This creature can't be blocked except by two or more creatures.)
{R}: Flowstone Kavu gets +1/-1 until end of turn.",3,{2}{R},Creature - Kavu,
33381,Founding the Third Path,"Read ahead (Choose a chapter and start with that many lore counters. Add one after your draw step. Skipped chapters don't trigger. Sacrifice after III.)
I - You may cast an instant or sorcery spell with mana value 1 or 2 from your hand without paying its mana cost.
II - Target player mills four cards.
III - Exile target instant or sorcery card from your graveyard. Copy it. You may cast the copy.",2,{1}{U},Enchantment - Saga,
33382,Frostfist Strider,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
When Frostfist Strider enters the battlefield, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",5,{3}{U}{U},Creature - Elemental Giant,
33383,Furious Bellow,Target creature gets +3/+0 and gains first strike until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),2,{1}{R},Instant,
33385,"Garna, Bloodfist of Keld","Whenever another creature you control dies, draw a card if it was attacking. Otherwise, Garna, Bloodfist of Keld deals 1 damage to each opponent.",4,{1}{B}{R}{R},Legendary Creature - Human Berserker,
33386,Geothermal Bog,"({T}: Add {B} or {R}.)
Geothermal Bog enters the battlefield tapped.",0,,Land - Swamp Mountain,
33387,Ghitu Amplifier,"Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.)
When Ghitu Amplifier enters the battlefield, if it was kicked, return target creature an opponent controls to its owner's hand.
Whenever you cast an instant or sorcery spell, Ghitu Amplifier gets +2/+0 until end of turn.",2,{1}{R},Creature - Human Wizard,
33388,Gibbering Barricade,"Defender
{2}{B}, Sacrifice a creature: You gain 1 life and draw a card.",3,{2}{B},Creature - Nightmare Wall,
33389,Goblin Picker,"{R}, {T}, Discard a card: Draw a card.",2,{1}{R},Creature - Goblin,
33390,Golden Argosy,"Whenever Golden Argosy attacks, exile each creature that crewed it this turn. Return them to the battlefield tapped under their owner's control at the beginning of the next end step.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",4,{4},Legendary Artifact - Vehicle,
33392,Guardian of New Benalia,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)
Whenever Guardian of New Benalia enlists a creature, scry 2.
Discard a card: Guardian of New Benalia gains indestructible until end of turn. Tap it.",2,{1}{W},Creature - Human Soldier,
33394,Haughty Djinn,"Flying
Haughty Djinn's power is equal to the number of instant and sorcery cards in your graveyard.
Instant and sorcery spells you cast cost {1} less to cast.",3,{1}{U}{U},Creature - Djinn,
33395,Haunted Mire,"({T}: Add {B} or {G}.)
Haunted Mire enters the battlefield tapped.",0,,Land - Swamp Forest,
33396,Haunting Figment,"Vigilance
Haunting Figment can't be blocked as long as you've cast an instant or sorcery spell this turn.",2,{1}{U},Creature - Illusion,
33397,Herd Migration,"Domain - Create a 3/3 green Beast creature token for each basic land type among lands you control.
{1}{G}, Discard Herd Migration: Search your library for a basic land card, reveal it, put it into your hand, then shuffle. You gain 3 life.",7,{6}{G},Sorcery,
33398,Heroic Charge,"Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.)
Creatures you control get +2/+1 until end of turn. If this spell was kicked, those creatures also gain trample until end of turn.",4,{2}{W}{W},Instant,
33399,Hero's Heirloom,"Equipped creature gets +2/+1.
As long as equipped creature is legendary, it has trample and haste.
Equip {2}",2,{2},Artifact - Equipment,
33400,Hexbane Tortoise,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)",3,{2}{G},Creature - Turtle,
33401,Hurler Cyclops,"{1}, Sacrifice another creature: Hurler Cyclops deals 1 damage to any target.",5,{3}{R}{R},Creature - Cyclops,
33402,Hurloon Battle Hymn,"Kicker {W} (You may pay an additional {W} as you cast this spell.)
Hurloon Battle Hymn deals 4 damage to target creature or planeswalker. If this spell was kicked, you gain 4 life.",3,{2}{R},Instant,
33403,Idyllic Beachfront,"({T}: Add {W} or {U}.)
Idyllic Beachfront enters the battlefield tapped.",0,,Land - Plains Island,
33404,Impede Momentum,"Tap target creature and put three stun counters on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",2,{1}{U},Sorcery,
33406,Inscribed Tablet,"{1}, {T}, Sacrifice Inscribed Tablet: Reveal the top five cards of your library. Put a land card from among them into your hand and the rest on the bottom of your library in a random order. If you didn't put a card into your hand this way, draw a card.",1,{1},Artifact,
33407,In Thrall to the Pit,"Kicker {2}{B} (You may pay an additional {2}{B} as you cast this spell.)
Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. If this spell was kicked, sacrifice that creature at the beginning of the next end step.",4,{3}{R},Sorcery,
33409,"Ivy, Gleeful Spellthief","Flying
Whenever a player casts a spell that targets only a single creature other than Ivy, Gleeful Spellthief, you may copy that spell. The copy targets Ivy. (A copy of an Aura spell becomes a token.)",2,{G}{U},Legendary Creature - Faerie Rogue,
33410,"Jaya, Fiery Negotiator","+1: Create a 1/1 red Monk creature token with prowess.
−1: Exile the top two cards of your library. Choose one of them. You may play that card this turn.
−2: Choose target creature an opponent controls. Whenever you attack this turn, Jaya, Fiery Negotiator deals damage equal to the number of attacking creatures to that creature.
−8: You get an emblem with ""Whenever you cast a red instant or sorcery spell, copy it twice. You may choose new targets for the copies.""",4,{2}{R}{R},Legendary Planeswalker - Jaya,
33411,Jaya's Firenado,Jaya's Firenado deals 5 damage to target creature or planeswalker. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),5,{4}{R},Sorcery,
33412,"Jhoira, Ageless Innovator","{T}: Put two ingenuity counters on Jhoira, Ageless Innovator, then you may put an artifact card with mana value X or less from your hand onto the battlefield, where X is the number of ingenuity counters on Jhoira.",2,{U}{R},Legendary Creature - Human Artificer,
33413,Jodah's Codex,"Domain - {5}, {T}: Draw a card. This ability costs {1} less to activate for each basic land type among lands you control.",5,{5},Artifact,
33414,"Jodah, the Unifier","Legendary creatures you control get +X/+X, where X is the number of legendary creatures you control.
Whenever you cast a legendary spell from your hand, exile cards from the top of your library until you exile a legendary nonland card with lesser mana value. You may cast that card without paying its mana cost. Put the rest on the bottom of your library in a random order.",5,{W}{U}{B}{R}{G},Legendary Creature - Human Wizard,
33415,Join Forces,Untap up to two target creatures. They each get +2/+2 until end of turn.,3,{2}{W},Instant,
33416,Joint Exploration,"Kicker {G} (You may pay an additional {G} as you cast this spell.)
Scry 2, then draw a card. If this spell was kicked, you may put a land card from your hand onto the battlefield.",2,{1}{U},Instant,
33417,Juniper Order Rootweaver,"Kicker {G} (You may pay an additional {G} as you cast this spell.)
When Juniper Order Rootweaver enters the battlefield, if it was kicked, put a +1/+1 counter on target creature you control.",2,{1}{W},Creature - Human Druid,
33418,"Karn, Living Legacy","+1: Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")
−1: Pay any amount of mana. Look at that many cards from the top of your library, then put one of those cards into your hand and the rest on the bottom of your library in a random order.
−7: You get an emblem with ""Tap an untapped artifact you control: This emblem deals 1 damage to any target.""",4,{4},Legendary Planeswalker - Karn,
33419,Karn's Sylex,"Karn's Sylex enters the battlefield tapped.
Players can't pay life to cast spells or to activate abilities that aren't mana abilities.
{X}, {T}, Exile Karn's Sylex: Destroy each nonland permanent with mana value X or less. Activate only as a sorcery.",3,{3},Legendary Artifact,
33421,Keldon Flamesage,"Enlist
Whenever Keldon Flamesage attacks, look at the top X cards of your library, where X is Keldon Flamesage's power. You may exile an instant or sorcery card with mana value X or less from among them. Put the rest on the bottom of your library in a random order. You may cast the exiled card without paying its mana cost.",3,{2}{R},Creature - Human Shaman,
33422,Keldon Strike Team,"Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.)
When Keldon Strike Team enters the battlefield, if it was kicked, create two 1/1 white Soldier creature tokens.
As long as Keldon Strike Team entered the battlefield this turn, creatures you control have haste.",3,{2}{R},Creature - Human Warrior,
33423,King Darien XLVIII,"Other creatures you control get +1/+1.
{3}{G}{W}: Put a +1/+1 counter on King Darien and create a 1/1 white Soldier creature token.
Sacrifice King Darien: Creature tokens you control gain hexproof and indestructible until end of turn.",3,{1}{G}{W},Legendary Creature - Human Soldier,
33424,Knight of Dawn's Light,"First strike
If you would gain life, you gain that much life plus 1 instead.
{1}{W}: Knight of Dawn's Light gets +1/+1 until end of turn.",2,{1}{W},Creature - Human Knight,
33425,Knight of Dusk's Shadow,"Menace (This creature can't be blocked except by two or more creatures.)
Your opponents can't gain life.
{1}{B}: Knight of Dusk's Shadow gets +1/+1 until end of turn.",2,{1}{B},Creature - Human Knight,
33426,"Lagomos, Hand of Hatred","At the beginning of combat on your turn, create a 2/1 red Elemental creature token with trample and haste. Sacrifice it at the beginning of the next end step.
{T}: Search your library for a card, put it into your hand, then shuffle. Activate only if five or more creatures died this turn.",3,{1}{B}{R},Legendary Creature - Human Shaman,
